Light,Phosphorus,Treatment,Day,Micro_Rep,Count_Rep,Squares_Counted,Observer,Unknown_Class,Diatoms,Green Algae,Cyanobacteria,Chrysophytes,Cryptophytes,Dinoflagellates,Euglena
Blue,High,Blue_HP,54,1,1,7,JS,4428.571429,571.4285715,29857.14286,0,0,0,285.7142857,285.7142857
Blue,High,Blue_HP,54,1,2,7,JS,3571.428571,714.2857143,20857.14286,0,0,0,714.2857143,142.8571429
Blue,High,Blue_HP,54,1,3,7,JS,4857.142857,1428.571429,52428.57142,5428.571429,428.5714286,0,714.2857143,142.8571429
Blue,High,Blue_HP,54,2,1,7,JS,7714.285715,571.4285715,58571.42858,0,0,0,428.5714286,0
Blue,High,Blue_HP,54,2,2,7,JS,3857.142857,0,57857.14286,3714.285714,0,0,0,142.8571429
Blue,High,Blue_HP,54,2,3,7,JS,3571.428572,0,40428.57143,1857.142857,428.5714286,0,0,0
Blue,High,Blue_HP,54,3,1,7,JS,1714.285714,714.2857143,10285.71429,285.7142857,0,0,714.2857143,0
Blue,High,Blue_HP,54,3,2,7,JS,1285.714286,1571.428572,14714.28571,1714.285714,0,0,1428.571429,0
Blue,High,Blue_HP,54,3,3,7,JS,1285.714286,1142.857143,17000,2857.142858,0,63428.57142,1142.857143,0
Blue,Low,Blue_LP,54,1,1,7,JS,6000,714.2857143,11428.57143,10714.28571,0,0,571.4285714,0
Blue,Low,Blue_LP,54,1,2,7,JS,7000,571.4285714,11428.57143,7142.857143,0,0,571.4285714,0
Blue,Low,Blue_LP,54,1,3,7,JS,2571.428571,1142.857143,11571.42857,4857.142857,0,0,571.4285714,0
Blue,Low,Blue_LP,54,2,1,7,JS,18428.57143,1000,39428.57143,24714.28571,0,0,714.2857143,0
Blue,Low,Blue_LP,54,2,2,7,JS,3857.142857,1000,24857.14286,7714.285714,0,0,857.1428571,0
Blue,Low,Blue_LP,54,2,3,7,JS,5714.285714,1000,29857.14286,9571.428572,0,0,428.5714286,0
Blue,Low,Blue_LP,54,3,1,7,JS,5857.142857,285.7142857,11714.28571,2714.285714,0,0,285.7142857,0
Blue,Low,Blue_LP,54,3,2,14,JS,2000,214.2857143,5071.428572,0,0,0,142.8571429,71.42857143
Blue,Low,Blue_LP,54,3,3,7,JS,857.1428571,142.8571429,13428.57143,1857.142857,0,0,142.8571429,0
Broad,High,Broad_HP,54,1,1,7,DA,142.8571429,0,15571.42857,601428.5714,0,0,0,0
Broad,High,Broad_HP,54,1,2,7,DA,0,0,14857.14286,867857.1429,0,0,0,0
Broad,High,Broad_HP,54,1,3,7,DA,0,0,15857.14286,894142.8572,0,0,0,0
Broad,High,Broad_HP,54,2,1,7,DA,2285.714286,0,59857.14286,0,0,0,0,0
Broad,High,Broad_HP,54,2,2,7,DA,285.7142857,0,146428.5714,0,0,0,0,0
Broad,High,Broad_HP,54,2,3,7,DA,0,0,58714.28571,0,0,0,0,0
Broad,High,Broad_HP,54,3,1,21,DA,0,47.61904762,2952.380953,1047.619048,0,0,0,0
Broad,High,Broad_HP,54,3,2,21,DA,0,0,2619.047619,1000,0,1285.714286,0,0
Broad,High,Broad_HP,54,3,3,21,DA,0,47.61904762,1809.52381,5809.52381,0,952.3809524,0,0
Broad,Low,Broad_LP,54,1,1,7,DA,142.8571429,571.4285715,3857.142857,30142.85714,0,0,0,0
Broad,Low,Broad_LP,54,1,2,7,DA,0,857.1428572,6571.428572,28285.71429,0,0,0,0
Broad,Low,Broad_LP,54,1,3,7,DA,0,142.8571429,3285.714286,24714.28571,0,0,0,0
Broad,Low,Broad_LP,54,2,1,7,DA,0,0,4000,248571.4286,0,0,0,0
Broad,Low,Broad_LP,54,2,2,7,DA,0,0,2285.714286,290285.7143,0,0,0,0
Broad,Low,Broad_LP,54,2,3,7,DA,0,0,4000,170142.8571,0,0,0,0
Broad,Low,Broad_LP,54,3,1,7,JS,0,142.8571429,5428.571429,173142.8571,0,0,0,0
Broad,Low,Broad_LP,54,3,2,7,DA,0,142.8571429,4857.142857,228428.5715,0,0,0,0
Broad,Low,Broad_LP,54,3,3,7,DA,0,571.4285715,5142.857142,219571.4285,0,0,0,0
Green,High,Green_HP,54,1,1,7,DA,428.5714286,142.8571429,24571.42857,236285.7143,0,857.1428571,0,0
Green,High,Green_HP,54,1,2,7,DA,1142.857143,0,30000,448714.2857,0,0,0,0
Green,High,Green_HP,54,1,3,7,DA,571.4285714,428.5714286,41571.42857,563285.7143,0,0,0,0
Green,High,Green_HP,54,2,1,28,DA,0,35.71428571,4000,0,0,0,0,0
Green,High,Green_HP,54,2,2,14,DA,0,0,7928.571429,1071.428571,0,1785.714285,0,0
Green,High,Green_HP,54,2,3,28,DA,71.42857143,35.71428571,4321.428572,0,0,0,0,0
Green,High,Green_HP,54,3,1,7,DA,0,0,78857.14286,54428.57143,0,0,0,0
Green,High,Green_HP,54,3,2,7,DA,0,142.8571429,77142.85715,112000,0,0,0,0
Green,High,Green_HP,54,3,3,7,DA,0,285.7142857,59000,17428.57143,0,0,0,0
Green,Low,Green_LP,54,1,1,7,DA,1714.285714,2571.428571,14000,78714.28571,0,0,0,0
Green,Low,Green_LP,54,1,2,7,DA,571.4285714,2142.857143,15571.42857,122571.4285,0,0,0,0
Green,Low,Green_LP,54,1,3,7,DA,0,3285.714285,45428.57143,130285.7143,0,0,0,0
Green,Low,Green_LP,54,2,1,7,JS,857.1428571,2428.571429,24000,3285.714286,0,2714.285714,2285.714286,428.5714286
Green,Low,Green_LP,54,2,2,7,JS,571.4285714,2428.571429,27142.85714,5000,0,0,2000,0
Green,Low,Green_LP,54,2,3,7,JS,285.7142857,2285.714286,38285.71428,10000,142.8571429,0,1857.142857,0
Green,Low,Green_LP,54,3,1,7,JS,571.4285714,1428.571429,39285.71429,11428.57143,0,0,1142.857143,0
Green,Low,Green_LP,54,3,2,7,JS,0,1142.857143,34428.57143,0,0,0,857.1428571,0
Green,Low,Green_LP,54,3,3,7,JS,285.7142857,1714.285715,23857.14286,2428.571429,0,0,1428.571429,0
Red,High,Red_HP,54,1,1,7,JS,18142.85715,0,21000,20285.71429,0,0,0,0
Red,High,Red_HP,54,1,2,7,JS,11000,0,14857.14286,29857.14286,0,0,0,0
Red,High,Red_HP,54,1,3,7,JS,15857.14286,142.8571429,31428.57143,49999.99999,0,0,142.8571429,0
Red,High,Red_HP,54,2,1,7,JS,571.4285714,285.7142857,15428.57143,571.4285714,0,0,285.7142857,0
Red,High,Red_HP,54,2,2,14,JS,2642.857143,142.8571429,7714.285715,0,0,0,142.8571429,0
Red,High,Red_HP,54,2,3,7,JS,1428.571429,428.5714286,16142.85714,6857.142857,0,0,285.7142857,0
Red,High,Red_HP,54,3,1,7,JS,23142.85714,142.8571429,71142.85714,141714.2857,0,0,0,0
Red,High,Red_HP,54,3,2,7,JS,3571.428571,142.8571429,88571.42857,113142.8572,0,0,142.8571429,0
Red,High,Red_HP,54,3,3,7,JS,23285.71429,0,90285.71429,243142.8572,0,0,0,0
Red,Low,Red_LP,54,1,1,7,JS,15000,571.4285714,4428.571429,208714.2857,0,5428.571428,571.4285714,0
Red,Low,Red_LP,54,1,2,7,JS,19285.71429,285.7142857,3714.285714,209857.1429,0,0,285.7142857,0
Red,Low,Red_LP,54,1,3,7,JS,20428.57143,1285.714286,4571.428572,336285.7143,0,0,285.7142857,0
Red,Low,Red_LP,54,2,1,7,JS,7714.285714,1285.714286,4142.857143,56285.71428,0,0,1000,0
Red,Low,Red_LP,54,2,2,7,JS,11571.42857,2142.857143,8714.285715,19142.85714,0,0,1000,0
Red,Low,Red_LP,54,2,3,7,JS,11285.71428,714.2857143,6000,43714.28571,0,0,0,0
Red,Low,Red_LP,54,3,1,7,JS,0,0,3857.142857,103571.4286,0,2428.571429,0,0
Red,Low,Red_LP,54,3,2,7,JS,285.7142857,0,3285.714286,153142.8572,0,0,0,0
Red,Low,Red_LP,54,3,3,7,JS,2285.714286,0,2000,104000,0,0,0,0
