Light,Blue,Broad,Green,Red,Nutrient,nut_ord,Micro_Rep,Treatment,Microcosm,Survived,Mass,JSG,jsgr_neg,filamentous,non_fil,green,crypto,diatom,dino
Blue,1,0,0,0,High,2,1,Blue_HP,Blue_HP_R1,1,16.9,0.270254132,0.270254132,1571.428571,16714.28571,103285.7143,0,1000,1714.285714
Blue,1,0,0,0,High,2,1,Blue_HP,Blue_HP_R1,1,14.5,0.231962889,0.231962889,1571.428571,16714.28571,103285.7143,0,1000,1714.285714
Blue,1,0,0,0,High,2,1,Blue_HP,Blue_HP_R1,1,18.9,0.298216207,0.298216207,1571.428571,16714.28571,103285.7143,0,1000,1714.285714
Blue,1,0,0,0,High,2,1,Blue_HP,Blue_HP_R1,1,19.1,0.30084781,0.30084781,1571.428571,16714.28571,103285.7143,0,1000,1714.285714
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,45.5,0.517853808,0.517853808,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,25,0.368144682,0.368144682,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,47.1,0.526493976,0.526493976,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,42.5,0.500801745,0.500801745,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,45.7,0.518950301,0.518950301,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,1,45.4,0.517303752,0.517303752,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,High,2,3,Blue_HP,Blue_HP_R3,0,0,0,-1,2428.571429,6714.285714,42000,63428.57142,142.8571429,3285.714286
Blue,1,0,0,0,Low,1,1,Blue_LP,Blue_LP_R1,1,31.5,0.425922613,0.425922613,7428.571428,30857.14286,34428.57143,0,714.2857143,1714.285714
Blue,1,0,0,0,Low,1,1,Blue_LP,Blue_LP_R1,1,23.2,0.349463796,0.349463796,7428.571428,30857.14286,34428.57143,0,714.2857143,1714.285714
